hero_code,hero_name,hero_url,table_pick_rate,table_win_rate,table_ban_rate,list_top_sets,list_hard_heroes,list_with_heroes,detail_rank_text,detail_win_rate_text,detail_hard_heroes,detail_with_heroes,detail_pick_order_pick_rate_chart,detail_pick_order_ban_rate_chart,detail_win_rate_chart,pickrate_1,pickrate_2,pickrate_3,pickrate_4,pickrate_5,banrate_1,banrate_2,banrate_3,banrate_4,banrate_5
c2070,라스트 라이더 크라우,https://epic7.onstove.com/ko/gg/herorecord/c2070,4.32,62.19,18.05,set_immune | set_speed,c1117 | c1172 | c2131,c2113 | c2124 | c2131,56 위 / 259,62.19%,c1117 | c1172 | c2131,c2113 | c2124 | c2131,,,,,,,,,,,,,
c2127,후계자 태유,https://epic7.onstove.com/ko/gg/herorecord/c2127,3.35,59.11,46.31,set_cri_dmg | set_penetrate,c2131 | c1022 | c2113,c1133 | c5072 | c2001,97 위 / 259,59.11%,c2131 | c1022 | c2113,c1133 | c5072 | c2001,,,,,,,,,,,,,
c2101,도시의 그림자 슈,https://epic7.onstove.com/ko/gg/herorecord/c2101,3.34,58.71,22.9,set_chase | set_speed,c2001 | c2113 | c2124,c2124 | c2131 | c1117,107 위 / 259,58.71%,c2001 | c2113 | c2124,c2124 | c2131 | c1117,,,,,,,,,,,,,
c2125,고독한 늑대 페이라,https://epic7.onstove.com/ko/gg/herorecord/c2125,3.28,56.86,5.45,set_max_hp | set_speed,c2001 | c2131 | c2124,c2124 | c1172 | c2131,126 위 / 259,56.86%,c2001 | c2131 | c2124,c2124 | c1172 | c2131,,,,,,,,,,,,,
c2090,죽음의 탐구자 레이,https://epic7.onstove.com/ko/gg/herorecord/c2090,3.12,57.92,28.54,set_immune | set_speed,c2113 | c2124 | c2131,c2001 | c2131 | c2113,118 위 / 259,57.92%,c2113 | c2124 | c2131,c2001 | c2131 | c2113,,,,,,,,,,,,,
c2002,나락의 세실리아,https://epic7.onstove.com/ko/gg/herorecord/c2002,3.02,61.26,15.84,set_immune | set_speed,c1168 | c2124 | c2113,c2001 | c2131 | c2124,66 위 / 259,61.26%,c1168 | c2124 | c2113,c2001 | c2131 | c2124,,,,,,,,,,,,,
c1109,랑디,https://epic7.onstove.com/ko/gg/herorecord/c1109,2.95,58.46,27.58,set_speed | set_torrent,c2124 | c2049 | c2113,c2131 | c2113 | c2001,111 위 / 259,58.46%,c2124 | c2049 | c2113,c2131 | c2113 | c2001,,,,,,,,,,,,,
c2079,사자왕 체르미아,https://epic7.onstove.com/ko/gg/herorecord/c2079,2.88,57.73,40.38,set_cri_dmg | set_immune,c1176 | c2131 | c2001,c2124 | c2113 | c2131,120 위 / 259,57.73%,c1176 | c2131 | c2001,c2124 | c2113 | c2131,,,,,,,,,,,,,
c1118,란,https://epic7.onstove.com/ko/gg/herorecord/c1118,2.85,60.02,3.59,set_cri | set_speed,c6005 | c1168 | c2001,c2076 | c1022 | c1172,84 위 / 259,60.02%,c6005 | c1168 | c2001,c2076 | c1022 | c1172,,,,,,,,,,,,,
c1143,아미드,https://epic7.onstove.com/ko/gg/herorecord/c1143,2.82,59.67,14.67,set_acc | set_speed,c2131 | c2124 | c2001,c1172 | c2124 | c2131,90 위 / 259,59.67%,c2131 | c2124 | c2001,c1172 | c2124 | c2131,,,,,,,,,,,,,
c1034,스트라제스,https://epic7.onstove.com/ko/gg/herorecord/c1034,2.75,64.45,44.98,set_speed | set_torrent,c2124 | c2131 | c2001,c1172 | c6005 | c2024,39 위 / 259,64.45%,c2124 | c2131 | c2001,c1172 | c6005 | c2024,,,,,,,,,,,,,
c1046,리디카,https://epic7.onstove.com/ko/gg/herorecord/c1046,2.71,62.79,18.03,set_acc | set_speed,c2131 | c2001 | c2076,c2103 | c1133 | c2124,47 위 / 259,62.79%,c2131 | c2001 | c2076,c2103 | c1133 | c2124,,,,,,,,,,,,,
c2132,용왕 샤룬,https://epic7.onstove.com/ko/gg/herorecord/c2132,2.52,58.07,31.42,set_acc | set_speed,c5072 | c2131 | c2124,c1168 | c2124 | c2001,115 위 / 259,58.07%,c5072 | c2131 | c2124,c1168 | c2124 | c2001,,,,,,,,,,,,,
c5175,아람,https://epic7.onstove.com/ko/gg/herorecord/c5175,2.4,61.12,15.98,set_max_hp | set_shield,c2001 | c1153 | c2131,c2103 | c2001 | c1172,68 위 / 259,61.12%,c2001 | c1153 | c2131,c2103 | c2001 | c1172,,,,,,,,,,,,,
c2008,홍염의 아밍,https://epic7.onstove.com/ko/gg/herorecord/c2008,2.39,60.76,5.24,set_immune | set_shield,c2113 | c2001 | c2124,c2131 | c2124 | c2049,72 위 / 259,60.76%,c2113 | c2001 | c2124,c2131 | c2124 | c2049,,,,,,,,,,,,,
c6017,미지의 가능성 아카테스,https://epic7.onstove.com/ko/gg/herorecord/c6017,2.38,57.94,25.25,set_immune | set_speed,c1133 | c2001 | c2131,c2124 | c2001 | c2131,117 위 / 259,57.94%,c1133 | c2001 | c2131,c2124 | c2001 | c2131,,,,,,,,,,,,,
c1007,빌트레드,https://epic7.onstove.com/ko/gg/herorecord/c1007,2.35,61.47,37.15,set_speed | set_torrent,c1168 | c2124 | c2076,c1172 | c6005 | c2024,63 위 / 259,61.47%,c1168 | c2124 | c2076,c1172 | c6005 | c2024,,,,,,,,,,,,,
c2080,사령관 파벨,https://epic7.onstove.com/ko/gg/herorecord/c2080,2.25,64.61,32.95,set_torrent | set_torrent | set_torrent,c2124 | c2131 | c2076,c1172 | c2024 | c2124,38 위 / 259,64.61%,c2124 | c2131 | c2076,c1172 | c2024 | c2124,,,,,,,,,,,,,
c2126,소악마 루아,https://epic7.onstove.com/ko/gg/herorecord/c2126,2.24,63.91,20.83,set_immune | set_speed,c2124 | c5072 | c2001,c2001 | c2076 | c1117,40 위 / 259,63.91%,c2124 | c5072 | c2001,c2001 | c2076 | c1117,,,,,,,,,,,,,
c4123,은결의 크리스티,https://epic7.onstove.com/ko/gg/herorecord/c4123,2.07,55.48,31.1,set_res | set_res | set_res,c2131 | c5072 | c2001,c2124 | c2103 | c6024,135 위 / 259,55.48%,c2131 | c5072 | c2001,c2124 | c2103 | c6024,,,,,,,,,,,,,
c1091,엘레나,https://epic7.onstove.com/ko/gg/herorecord/c1091,2.04,57.49,24.22,set_immune | set_speed,c2024 | c1172 | c6005,c2124 | c2131 | c2001,121 위 / 259,57.49%,c2024 | c1172 | c6005,c2124 | c2131 | c2001,,,,,,,,,,,,,
c2048,백은칼날의 아라민타,https://epic7.onstove.com/ko/gg/herorecord/c2048,1.85,62.72,40.61,set_acc | set_speed,c2124 | c1172 | c2131,c2076 | c1118 | c1172,49 위 / 259,62.72%,c2124 | c1172 | c2131,c2076 | c1118 | c1172,,,,,,,,,,,,,
c2111,설국의 솔리타리아,https://epic7.onstove.com/ko/gg/herorecord/c2111,1.78,61.56,53.34,set_immune | set_speed,c5110 | c2124 | c2024,c2131 | c2001 | c1022,62 위 / 259,61.56%,c5110 | c2124 | c2024,c2131 | c2001 | c1022,,,,,,,,,,,,,
c2016,심연의 유피네,https://epic7.onstove.com/ko/gg/herorecord/c2016,1.74,61.2,24.84,set_cri_dmg | set_immune,c1133 | c1172 | c2124,c2131 | c2001 | c2076,67 위 / 259,61.2%,c1133 | c1172 | c2124,c2131 | c2001 | c2076,,,,,,,,,,,,,
c6037,달토끼 도미니엘,https://epic7.onstove.com/ko/gg/herorecord/c6037,1.58,60.28,29.2,set_immune | set_speed,c1168 | c2124 | c2001,c2076 | c2131 | c2001,83 위 / 259,60.28%,c1168 | c2124 | c2001,c2076 | c2131 | c2001,,,,,,,,,,,,,
c1162,어린 셰나,https://epic7.onstove.com/ko/gg/herorecord/c1162,1.44,57.75,40.92,set_chase | set_immune | set_max_hp,c2024 | c1172 | c2124,c1168 | c2131 | c1172,119 위 / 259,57.75%,c2024 | c1172 | c2124,c1168 | c2131 | c1172,,,,,,,,,,,,,
c1103,셀린,https://epic7.onstove.com/ko/gg/herorecord/c1103,1.26,55.47,41.37,set_cri_dmg | set_penetrate,c2001 | c1168 | c2112,c2124 | c2001 | c2131,136 위 / 259,55.47%,c2001 | c1168 | c2112,c2124 | c2001 | c2131,,,,,,,,,,,,,
c1055,제뉴아,https://epic7.onstove.com/ko/gg/herorecord/c1055,1.13,61.91,25.48,set_speed | set_torrent,c2124 | c2131 | c2001,c2112 | c2001 | c6005,58 위 / 259,61.91%,c2124 | c2131 | c2001,c2112 | c2001 | c6005,,,,,,,,,,,,,
c1177,사르미아,https://epic7.onstove.com/ko/gg/herorecord/c1177,1.1,59.12,48.42,set_speed | set_torrent,c2131 | c2124 | c2001,c1168 | c2001 | c6050,96 위 / 259,59.12%,c2131 | c2124 | c2001,c1168 | c2001 | c6050,,,,,,,,,,,,,
c2069,영겁의 표류자 루트비히,https://epic7.onstove.com/ko/gg/herorecord/c2069,1.07,56.82,28.71,set_speed | set_torrent,c2131 | c2001 | c1168,c1133 | c2076 | c1172,127 위 / 259,56.82%,c2131 | c2001 | c1168,c1133 | c2076 | c1172,,,,,,,,,,,,,
c2019,화란의 라비,https://epic7.onstove.com/ko/gg/herorecord/c2019,1.07,54.61,21.77,set_cri_dmg | set_penetrate,c2001 | c2131 | c2113,c2124 | c2131 | c2113,138 위 / 259,54.61%,c2001 | c2131 | c2113,c2124 | c2131 | c2113,,,,,,,,,,,,,
c1112,폴리티스,https://epic7.onstove.com/ko/gg/herorecord/c1112,1.06,61.82,32.65,set_cri | set_speed,c1133 | c2076 | c1172,c2001 | c2076 | c1150,60 위 / 259,61.82%,c1133 | c2076 | c1172,c2001 | c2076 | c1150,,,,,,,,,,,,,
c1179,아키,https://epic7.onstove.com/ko/gg/herorecord/c1179,1.01,60.0,39.63,set_speed | set_torrent,c2131 | c2124 | c1117,c2001 | c6005 | c2112,85 위 / 259,60%,c2131 | c2124 | c1117,c2001 | c6005 | c2112,,,,,,,,,,,,,
c2095,디자이너 릴리벳,https://epic7.onstove.com/ko/gg/herorecord/c2095,0.92,56.16,38.37,set_immune | set_speed,c1172 | c2024 | c2076,c2124 | c2131 | c2001,130 위 / 259,56.16%,c1172 | c2024 | c2076,c2124 | c2131 | c2001,,,,,,,,,,,,,
c2023,뒤틀린 망령 카일론,https://epic7.onstove.com/ko/gg/herorecord/c2023,0.87,60.44,32.39,set_immune | set_vampire,c1117 | c2124 | c1172,c2001 | c2113 | c2124,79 위 / 259,60.44%,c1117 | c2124 | c1172,c2001 | c2113 | c2124,,,,,,,,,,,,,
c6020,서풍의 처형자 슈리,https://epic7.onstove.com/ko/gg/herorecord/c6020,0.84,56.95,31.7,set_acc | set_speed,c1172 | c1168 | c2124,c2024 | c2001 | c2076,125 위 / 259,56.95%,c1172 | c1168 | c2124,c2024 | c2001 | c2076,,,,,,,,,,,,,
c2102,진혼의 로앤나,https://epic7.onstove.com/ko/gg/herorecord/c2102,0.84,54.07,40.35,set_acc | set_acc | set_acc,c2124 | c2076 | c1168,c1133 | c2001 | c2076,143 위 / 259,54.07%,c2124 | c2076 | c1168,c1133 | c2001 | c2076,,,,,,,,,,,,,
c1020,슈리,https://epic7.onstove.com/ko/gg/herorecord/c1020,0.83,62.48,42.68,set_cri | set_speed,c1168 | c1007 | c2076,c1007 | c1172 | c2024,53 위 / 259,62.48%,c1168 | c1007 | c2076,c1007 | c1172 | c2024,,,,,,,,,,,,,
c2073,조율자 카웨릭,https://epic7.onstove.com/ko/gg/herorecord/c2073,0.73,54.01,24.18,set_max_hp | set_speed,c2076 | c1117 | c2001,c2113 | c2124 | c2001,146 위 / 259,54.01%,c2076 | c1117 | c2001,c2113 | c2124 | c2001,,,,,,,,,,,,,
c5009,여름 방학 샬롯,https://epic7.onstove.com/ko/gg/herorecord/c5009,0.71,60.72,20.65,set_torrent | set_torrent | set_torrent,c2131 | c2076 | c2001,c1133 | c2103 | c5072,74 위 / 259,60.72%,c2131 | c2076 | c2001,c1133 | c2103 | c5072,,,,,,,,,,,,,
c5046,화원의 리디카,https://epic7.onstove.com/ko/gg/herorecord/c5046,0.7,52.79,35.56,set_acc | set_speed,c2076 | c2112 | c1172,c1133 | c2001 | c2127,153 위 / 259,52.79%,c2076 | c2112 | c1172,c1133 | c2001 | c2127,,,,,,,,,,,,,
c1076,디에네,https://epic7.onstove.com/ko/gg/herorecord/c1076,0.68,52.26,26.01,set_res | set_speed,c2001 | c2112 | c2113,c2124 | c2131 | c1117,159 위 / 259,52.26%,c2001 | c2112 | c2113,c2124 | c2131 | c1117,,,,,,,,,,,,,
c4158,전승의 아미키,https://epic7.onstove.com/ko/gg/herorecord/c4158,0.64,59.24,45.67,set_counter | set_res,c1172 | c2024 | c2076,c2001 | c2131 | c2124,95 위 / 259,59.24%,c1172 | c2024 | c2076,c2001 | c2131 | c2124,,,,,,,,,,,,,
c2004,방랑자 실크,https://epic7.onstove.com/ko/gg/herorecord/c2004,0.63,59.26,46.32,set_immune | set_speed,c1172 | c1007 | c1168,c1168 | c1007 | c2076,94 위 / 259,59.26%,c1172 | c1007 | c1168,c1168 | c1007 | c2076,,,,,,,,,,,,,
c2012,어둠의 코르부스,https://epic7.onstove.com/ko/gg/herorecord/c2012,0.63,53.56,38.45,set_immune | set_opener,c2001 | c2124 | c1022,c2113 | c2131 | c1153,148 위 / 259,53.56%,c2001 | c2124 | c1022,c2113 | c2131 | c1153,,,,,,,,,,,,,
c2015,현자 바알&세잔,https://epic7.onstove.com/ko/gg/herorecord/c2015,0.62,60.43,38.34,set_max_hp | set_speed,c1172 | c2024 | c1168,c2131 | c2124 | c2001,81 위 / 259,60.43%,c1172 | c2024 | c1168,c2131 | c2124 | c2001,,,,,,,,,,,,,
c2011,혈검 카린,https://epic7.onstove.com/ko/gg/herorecord/c2011,0.58,59.53,28.54,set_cri_dmg | set_torrent,c2124 | c2001 | c1168,c6005 | c2001 | c1172,91 위 / 259,59.53%,c2124 | c2001 | c1168,c6005 | c2001 | c1172,,,,,,,,,,,,,
c2106,용의 반려 셰나,https://epic7.onstove.com/ko/gg/herorecord/c2106,0.55,52.88,19.82,set_max_hp | set_speed,c2001 | c1172 | c2124,c2131 | c2001 | c1022,150 위 / 259,52.88%,c2001 | c1172 | c2124,c2131 | c2001 | c1022,,,,,,,,,,,,,
c1038,세즈,https://epic7.onstove.com/ko/gg/herorecord/c1038,0.54,51.84,33.03,set_cri_dmg | set_penetrate,c2131 | c2001 | c1022,c1133 | c5072 | c2103,161 위 / 259,51.84%,c2131 | c2001 | c1022,c1133 | c5072 | c2103,,,,,,,,,,,,,
c1131,율하,https://epic7.onstove.com/ko/gg/herorecord/c1131,0.53,55.74,22.65,set_immune | set_max_hp | set_max_hp,c1172 | c2024 | c2124,c1162 | c2131 | c2113,132 위 / 259,55.74%,c1172 | c2024 | c2124,c1162 | c2131 | c2113,,,,,,,,,,,,,
c5128,은빛 해일 화영,https://epic7.onstove.com/ko/gg/herorecord/c5128,0.49,63.61,40.03,set_cri_dmg | set_torrent,c2124 | c2131 | c2001,c2001 | c1168 | c1172,43 위 / 259,63.61%,c2124 | c2131 | c2001,c2001 | c1168 | c1172,,,,,,,,,,,,,
c2109,해군 대령 랑디,https://epic7.onstove.com/ko/gg/herorecord/c2109,0.48,50.42,23.31,set_counter | set_immune,c2001 | c6050 | c5072,c2124 | c2113 | c2131,166 위 / 259,50.42%,c2001 | c6050 | c5072,c2124 | c2113 | c2131,,,,,,,,,,,,,
c2165,전학생 아딘,https://epic7.onstove.com/ko/gg/herorecord/c2165,0.47,55.94,23.76,set_cri_dmg | set_penetrate,c1153 | c2001 | c2113,c2001 | c2124 | c5072,131 위 / 259,55.94%,c1153 | c2001 | c2113,c2001 | c2124 | c5072,,,,,,,,,,,,,
c1173,페른,https://epic7.onstove.com/ko/gg/herorecord/c1173,0.46,62.82,21.3,set_opener | set_penetrate,c2124 | c2131 | c2113,c2124 | c2131 | c2001,45 위 / 259,62.82%,c2124 | c2131 | c2113,c2124 | c2131 | c2001,,,,,,,,,,,,,
c2091,별의 신탁 엘레나,https://epic7.onstove.com/ko/gg/herorecord/c2091,0.44,52.37,28.53,set_speed | set_torrent,c6024 | c2131 | c2001,c2024 | c1172 | c1104,158 위 / 259,52.37%,c6024 | c2131 | c2001,c2024 | c1172 | c1104,,,,,,,,,,,,,
c1014,시더,https://epic7.onstove.com/ko/gg/herorecord/c1014,0.42,66.48,21.75,set_penetrate | set_speed,c1168 | c2131 | c2076,c2024 | c1172 | c2124,37 위 / 259,66.48%,c1168 | c2131 | c2076,c2024 | c1172 | c2124,,,,,,,,,,,,,
c2062,죄악의 안젤리카,https://epic7.onstove.com/ko/gg/herorecord/c2062,0.42,52.73,15.6,set_immune | set_speed,c1022 | c2131 | c1168,c6005 | c2103 | c1168,155 위 / 259,52.73%,c1022 | c2131 | c1168,c6005 | c2103 | c1168,,,,,,,,,,,,,
c2072,오퍼레이터 세크레트,https://epic7.onstove.com/ko/gg/herorecord/c2072,0.37,62.77,31.32,set_speed | set_torrent,c2001 | c2131 | c2002,c1168 | c2131 | c6005,48 위 / 259,62.77%,c2001 | c2131 | c2002,c1168 | c2131 | c6005,,,,,,,,,,,,,
c2082,최강 모델 루루카,https://epic7.onstove.com/ko/gg/herorecord/c2082,0.37,52.38,26.64,set_penetrate | set_speed,c2131 | c1022 | c2001,c1168 | c2112 | c6005,157 위 / 259,52.38%,c2131 | c1022 | c2001,c1168 | c2112 | c6005,,,,,,,,,,,,,
c2042,야심가 타이윈,https://epic7.onstove.com/ko/gg/herorecord/c2042,0.36,58.55,14.2,set_max_hp | set_shield,c2024 | c1172 | c6005,c2131 | c2124 | c2001,110 위 / 259,58.55%,c2024 | c1172 | c6005,c2131 | c2124 | c2001,,,,,,,,,,,,,
c2110,해적 선장 플랑,https://epic7.onstove.com/ko/gg/herorecord/c2110,0.34,58.56,35.82,set_acc | set_speed,c2076 | c2131 | c2112,c1133 | c2001 | c5072,109 위 / 259,58.56%,c2076 | c2131 | c2112,c1133 | c2001 | c5072,,,,,,,,,,,,,
c1148,엘비라,https://epic7.onstove.com/ko/gg/herorecord/c1148,0.33,62.42,52.01,set_counter | set_res,c2127 | c1133 | c1172,c2124 | c2131 | c2001,54 위 / 259,62.42%,c2127 | c1133 | c1172,c2124 | c2131 | c2001,,,,,,,,,,,,,
c1122,밀림,https://epic7.onstove.com/ko/gg/herorecord/c1122,0.31,61.05,60.73,set_penetrate | set_speed,c1109 | c1022 | c2001,c2124 | c2049 | c2113,69 위 / 259,61.05%,c1109 | c1022 | c2001,c2124 | c2049 | c2113,,,,,,,,,,,,,
c5024,남국의 이세리아,https://epic7.onstove.com/ko/gg/herorecord/c5024,0.31,57.41,32.14,set_acc | set_speed,c2131 | c1172 | c1168,c2103 | c1172 | c2024,122 위 / 259,57.41%,c2131 | c1172 | c1168,c2103 | c1172 | c2024,,,,,,,,,,,,,
c5089,밤의 연회 릴리아스,https://epic7.onstove.com/ko/gg/herorecord/c5089,0.3,61.46,29.11,set_speed | set_torrent,c2131 | c2124 | c2001,c6005 | c2131 | c2001,64 위 / 259,61.46%,c2131 | c2124 | c2001,c6005 | c2131 | c2001,,,,,,,,,,,,,
c1147,후미르,https://epic7.onstove.com/ko/gg/herorecord/c1147,0.29,60.44,39.12,set_acc | set_speed,c2113 | c1117 | c2124,c1172 | c2131 | c2049,79 위 / 259,60.44%,c2113 | c1117 | c2124,c1172 | c2131 | c2049,,,,,,,,,,,,,
c1180,루이자,https://epic7.onstove.com/ko/gg/herorecord/c1180,0.28,55.64,9.93,set_acc | set_speed,c2124 | c2131 | c2001,c2076 | c2001 | c2131,133 위 / 259,55.64%,c2124 | c2131 | c2001,c2076 | c2001 | c2131,,,,,,,,,,,,,
c1060,슈니엘,https://epic7.onstove.com/ko/gg/herorecord/c1060,0.25,66.97,57.42,set_immune | set_speed,c2090 | c2001 | c2124,c2113 | c2124 | c2001,34 위 / 259,66.97%,c2090 | c2001 | c2124,c2113 | c2124 | c2001,,,,,,,,,,,,,
c2099,설계자 라이카,https://epic7.onstove.com/ko/gg/herorecord/c2099,0.25,52.86,38.98,set_speed | set_torrent,c2131 | c1176 | c1022,c6005 | c1168 | c2001,151 위 / 259,52.86%,c2131 | c1176 | c1022,c6005 | c1168 | c2001,,,,,,,,,,,,,
c1151,낙월,https://epic7.onstove.com/ko/gg/herorecord/c1151,0.24,51.87,37.57,set_acc | set_speed,c6024 | c2113 | c2124,c2131 | c2001 | c2124,160 위 / 259,51.87%,c6024 | c2113 | c2124,c2131 | c2001 | c2124,,,,,,,,,,,,,
c2089,지배자 릴리아스,https://epic7.onstove.com/ko/gg/herorecord/c2089,0.21,61.89,11.92,set_acc | set_speed,c2131 | c1117 | c2124,c1172 | c5128 | c6005,59 위 / 259,61.89%,c2131 | c1117 | c2124,c1172 | c5128 | c6005,,,,,,,,,,,,,
c2022,데스티나,https://epic7.onstove.com/ko/gg/herorecord/c2022,0.21,49.21,21.67,set_res | set_speed,c5072 | c2131 | c2001,c2124 | c2113 | c6024,172 위 / 259,49.21%,c5072 | c2131 | c2001,c2124 | c2113 | c6024,,,,,,,,,,,,,
