hero_code,hero_name,hero_url,table_pick_rate,table_win_rate,table_ban_rate,list_top_sets,list_hard_heroes,list_with_heroes,detail_rank_text,detail_win_rate_text,detail_hard_heroes,detail_with_heroes,detail_pick_order_pick_rate_chart,detail_pick_order_ban_rate_chart,detail_win_rate_chart,pickrate_1,pickrate_2,pickrate_3,pickrate_4,pickrate_5,banrate_1,banrate_2,banrate_3,banrate_4,banrate_5
c1065,수린,https://epic7.onstove.com/ko/gg/herorecord/c1065,0.07,59.09,30.69,set_cri | set_speed,c1020 | c1007 | c2004,c1046 | c1007 | c2004,98 위 / 259,59.09%,c1020 | c1007 | c2004,c1046 | c1007 | c2004,,,,,,,,,,,,,
c2038,실험체 세즈,https://epic7.onstove.com/ko/gg/herorecord/c2038,0.07,48.72,7.37,set_penetrate | set_speed,c2131 | c2076 | c1022,c5072 | c1133 | c2001,173 위 / 259,48.72%,c2131 | c2076 | c1022,c5072 | c1133 | c2001,,,,,,,,,,,,,
c1134,에드워드 엘릭,https://epic7.onstove.com/ko/gg/herorecord/c1134,0.07,44.9,35.29,set_cri_dmg | set_torrent,c2024 | c1172 | c2076,c2001 | c1168 | c2131,183 위 / 259,44.9%,c2024 | c1172 | c2076,c2001 | c1168 | c2131,,,,,,,,,,,,,
c5082,바다 향기 루루카,https://epic7.onstove.com/ko/gg/herorecord/c5082,0.06,67.92,35.0,set_res | set_speed,c1143 | c1172 | c2124,c2131 | c1117 | c2113,30 위 / 259,67.92%,c1143 | c1172 | c2124,c2131 | c1117 | c2113,,,,,,,,,,,,,
c1142,엘리고스,https://epic7.onstove.com/ko/gg/herorecord/c1142,0.05,51.52,16.18,set_penetrate | set_speed,c2131 | c2124 | c2076,c1168 | c2124 | c1172,163 위 / 259,51.52%,c2131 | c2124 | c2076,c1168 | c2124 | c1172,,,,,,,,,,,,,
c2020,주시자 슈리,https://epic7.onstove.com/ko/gg/herorecord/c2020,0.05,51.02,18.46,set_speed | set_torrent,c1168 | c2001 | c2131,c1007 | c1172 | c1143,165 위 / 259,51.02%,c1168 | c2001 | c2131,c1007 | c1172 | c1143,,,,,,,,,,,,,
c6062,빛의 천사 안젤리카,https://epic7.onstove.com/ko/gg/herorecord/c6062,0.05,38.46,37.84,set_immune | set_speed,c1172 | c1118 | c2048,c2131 | c2124 | c6024,199 위 / 259,38.46%,c1172 | c1118 | c2048,c2131 | c2124 | c6024,,,,,,,,,,,,,
c2037,도전자 도미니엘,https://epic7.onstove.com/ko/gg/herorecord/c2037,0.05,31.58,13.24,set_penetrate | set_speed,c2001 | c2131 | c2124,c1118 | c1172 | c1168,206 위 / 259,31.58%,c2001 | c2131 | c2124,c1118 | c1172 | c1168,,,,,,,,,,,,,
c2074,잔영의 비올레토,https://epic7.onstove.com/ko/gg/herorecord/c2074,0.04,47.62,10.94,set_penetrate | set_vampire,c2113 | c1117 | c2124,c2125 | c2124 | c5072,175 위 / 259,47.62%,c2113 | c1117 | c2124,c2125 | c2124 | c5072,,,,,,,,,,,,,
c4144,구원자 아딘,https://epic7.onstove.com/ko/gg/herorecord/c4144,0.04,41.18,9.84,set_cri_dmg | set_penetrate,c2001 | c2131 | c2124,c6005 | c1168 | c2125,193 위 / 259,41.18%,c2001 | c2131 | c2124,c6005 | c1168 | c2125,,,,,,,,,,,,,
c1096,멜리사,https://epic7.onstove.com/ko/gg/herorecord/c1096,0.04,55.56,25.93,set_penetrate | set_speed,c2131 | c2113 | c1117,c2076 | c2112 | c1172,134 위 / 259,55.56%,c2131 | c2113 | c1117,c2076 | c2112 | c1172,,,,,,,,,,,,,
c1100,알렌시아,https://epic7.onstove.com/ko/gg/herorecord/c1100,0.04,52.94,10.34,set_penetrate | set_speed,c2001 | c2131 | c2124,c2124 | c2131 | c1022,149 위 / 259,52.94%,c2001 | c2131 | c2124,c2124 | c2131 | c1022,,,,,,,,,,,,,
c1144,아비게일,https://epic7.onstove.com/ko/gg/herorecord/c1144,0.04,52.78,35.59,set_max_hp | set_speed,c2128 | c2131 | c2124,c6024 | c2131 | c2001,154 위 / 259,52.78%,c2128 | c2131 | c2124,c6024 | c2131 | c2001,,,,,,,,,,,,,
c1089,릴리아스,https://epic7.onstove.com/ko/gg/herorecord/c1089,0.04,46.67,11.54,set_max_hp | set_speed,c5072 | c2001 | c1117,c2113 | c2124 | c2049,177 위 / 259,46.67%,c5072 | c2001 | c1117,c2113 | c2124 | c2049,,,,,,,,,,,,,
c3123,크리스티,https://epic7.onstove.com/ko/gg/herorecord/c3123,0.04,41.67,29.41,set_res | set_res,c2124 | c1168 | c6050,c1172 | c1117 | c2124,191 위 / 259,41.67%,c2124 | c1168 | c6050,c1172 | c1117 | c2124,,,,,,,,,,,,,
c1119,자하크,https://epic7.onstove.com/ko/gg/herorecord/c1119,0.03,60.0,31.58,set_penetrate | set_speed,c2001 | c5072 | c2113,c2124 | c2125 | c1168,85 위 / 259,60%,c2001 | c5072 | c2113,c2124 | c2125 | c1168,,,,,,,,,,,,,
c5004,마신의 그림자,https://epic7.onstove.com/ko/gg/herorecord/c5004,0.03,58.0,19.57,set_counter | set_immune,c2113 | c2131 | c2001,c2001 | c2124 | c2131,116 위 / 259,58%,c2113 | c2131 | c2001,c2001 | c2124 | c2131,,,,,,,,,,,,,
c1095,릴리벳,https://epic7.onstove.com/ko/gg/herorecord/c1095,0.03,45.24,33.33,set_speed | set_torrent,c2001 | c2131 | c1117,c2112 | c6005 | c1168,182 위 / 259,45.24%,c2001 | c2131 | c1117,c2112 | c6005 | c1168,,,,,,,,,,,,,
c4042,수호천사 몽모랑시,https://epic7.onstove.com/ko/gg/herorecord/c4042,0.03,42.39,13.89,set_immune | set_speed,c5072 | c2131 | c2001,c2124 | c6024 | c2113,190 위 / 259,42.39%,c5072 | c2131 | c2001,c2124 | c6024 | c2113,,,,,,,,,,,,,
c2053,사막의 보석 바사르,https://epic7.onstove.com/ko/gg/herorecord/c2053,0.02,44.44,17.14,set_max_hp | set_speed,c2124 | c2103 | c2049,c2001 | c2113 | c2131,185 위 / 259,44.44%,c2124 | c2103 | c2049,c2001 | c2113 | c2131,,,,,,,,,,,,,
c1160,비르기타,https://epic7.onstove.com/ko/gg/herorecord/c1160,0.02,78.57,34.38,set_acc | set_speed,c2113 | c2131 | c6024,c5072 | c2124 | c6005,29 위 / 259,78.57%,c2113 | c2131 | c6024,c5072 | c2124 | c6005,,,,,,,,,,,,,
c5149,레테,https://epic7.onstove.com/ko/gg/herorecord/c5149,0.02,60.61,27.27,set_max_hp | set_speed,c1117 | c2124 | c2131,c2131 | c2113 | c2124,76 위 / 259,60.61%,c1117 | c2124 | c2131,c2131 | c2113 | c2124,,,,,,,,,,,,,
c1169,로빈,https://epic7.onstove.com/ko/gg/herorecord/c1169,0.02,60.61,36.36,set_acc | set_speed,c2124 | c2076 | c1172,c1168 | c2131 | c6005,76 위 / 259,60.61%,c2124 | c2076 | c1172,c1168 | c2131 | c6005,,,,,,,,,,,,,
c6014,떠돌이 왕자 시더,https://epic7.onstove.com/ko/gg/herorecord/c6014,0.02,58.97,34.62,set_acc | set_speed,c2124 | c2131 | c1172,c1118 | c2076 | c1133,104 위 / 259,58.97%,c2124 | c2131 | c1172,c1118 | c2076 | c1133,,,,,,,,,,,,,
c1156,알베도,https://epic7.onstove.com/ko/gg/herorecord/c1156,0.02,54.55,6.67,set_immune | set_shield,c2024 | c6005 | c1172,c1162 | c2131 | c2001,139 위 / 259,54.55%,c2024 | c6005 | c1172,c1162 | c2131 | c2001,,,,,,,,,,,,,
c4004,자유기사 아로웰,https://epic7.onstove.com/ko/gg/herorecord/c4004,0.02,50.0,8.0,set_immune | set_speed,c2113 | c5072 | c5110,c2001 | c2124 | c6024,167 위 / 259,50%,c2113 | c5072 | c5110,c2001 | c2124 | c6024,,,,,,,,,,,,,
c5050,메르헨 테네브리아,https://epic7.onstove.com/ko/gg/herorecord/c5050,0.02,43.48,28.0,set_acc | set_speed,c2124 | c2113 | c2049,c1168 | c2001 | c2131,187 위 / 259,43.48%,c2124 | c2113 | c2049,c1168 | c2001 | c2131,,,,,,,,,,,,,
c1146,베니마루,https://epic7.onstove.com/ko/gg/herorecord/c1146,0.02,42.86,38.46,set_cri | set_speed,c1168 | c1162 | c2125,c2124 | c2024 | c2076,188 위 / 259,42.86%,c1168 | c1162 | c2125,c2124 | c2024 | c2076,,,,,,,,,,,,,
c4051,연구자 캐롯,https://epic7.onstove.com/ko/gg/herorecord/c4051,0.02,40.0,30.0,set_acc | set_speed,c1172 | c1168 | c1109,c2131 | c6005 | c2124,194 위 / 259,40%,c1172 | c1168 | c1109,c2131 | c6005 | c2124,,,,,,,,,,,,,
c1158,펜리스,https://epic7.onstove.com/ko/gg/herorecord/c1158,0.02,39.47,28.0,set_cri_dmg | set_penetrate,c6024 | c2131 | c2076,c6005 | c2024 | c1133,197 위 / 259,39.47%,c6024 | c2131 | c2076,c6005 | c2024 | c1133,,,,,,,,,,,,,
